,,,,,,,,,,
90,뚜아루즈,부산 해운대구 달맞이길128번길 28,051-747-0028,12:00 - 22:00,4.4,,35.1588,129.1815,1,4
91,이태리국시,부산 부산진구 전포대로209번길 17,051-818-8992,11:30 - 21:30,4.3,,35.1562,129.0642,1,7
92,원조부산족발,부산 중구 광복로 13-2,051-245-5359,11:00 - 23:00,4.1,,35.0998,129.0285,1,1
93,재성밀면,부산 남구 용호로 80,051-623-8822,10:30 - 20:30,4.2,,35.1235,129.112,1,1
94,홍유단,부산 중구 중앙대로49번길 17,051-248-4001,11:30 - 22:00,4.3,,35.1065,129.0345,1,3
95,털보네,부산 동래구 명륜로129번길 6,051-554-8848,17:00 - 02:00,4.4,,35.2045,129.081,1,1
96,오반장,부산 해운대구 구남로24번길 3,051-747-8085,11:00 - 06:00,4.2,,35.162,129.1605,1,1
97,삼삼횟집,부산 수영구 민락수변로 7,051-753-7333,10:00 - 22:00,4.3,,35.154,129.126,1,1
98,젠닌,부산 부산진구 전포대로210번길 23,051-806-6469,12:00 - 21:00,4.5,,35.1565,129.0648,1,2
99,시골여행,부산 금정구 금샘로 490,051-517-7793,11:00 - 21:00,4.4,,35.242,129.083,1,1
100,황금조개구이,부산 영도구 태종로 825,051-404-9331,11:00 - 24:00,4.3,,35.056,129.0885,1,1
