,,,
156,오늘의 수프,6000,35
157,아메리카노,5500,36
158,수플레 팬케이크,15000,36
159,듀플릿 커피,7000,36
160,모모스 블렌드,5000,37
161,크루아상,3500,37
162,오늘의 핸드드립,6000,37
163,휘낭시에,3000,37
164,아메리카노,6500,38
165,당근케이크,7000,38
166,헤이든 말차라떼,7500,38
167,소금빵,3500,38
168,아메리카노,5000,39
169,220볼트 크림라떼,7000,39
170,레몬 파운드 케이크,6000,39
171,아메리카노,7000,40
172,모히토 (무알콜),12000,40
173,블루베리 요거트 스무디,9000,40
174,티라미수,9000,40
175,아메리카노,5500,41
176,크림 브륄레,7000,41
177,솔티드 카라멜 라떼,6500,41
178,바스크 치즈케이크,7500,41
179,나마초코라떼,7000,42
180,크로플,9000,42
181,루프탑 아인슈페너,7500,42
182,플랫화이트,5000,43
183,레몬 마들렌,3000,43
184,필터 커피,6000,43
185,아메리카노,5000,44
186,스카치 캔디 라떼,6500,44
187,레몬 파운드 케이크,6000,44
188,오늘의 플라워 에이드,7000,45
189,플라워 토스트,8000,45
190,바닐라라떼,6500,45
191,필터커피,6000,46
192,파블로바,9000,46
193,콜드브루,5500,46
194,아메리카노,5500,47
195,앙버터,4500,47
196,몽블랑,8000,47
197,아메리카노,6000,48
198,흑임자라떼,7500,48
199,오션뷰 에이드,8000,48
200,랜드마크 슈페너,7500,49
201,소금빵,3000,49
202,아메리카노,5000,49
203,단단라떼,6500,50
204,말차 테린느,6000,50
205,아메리카노,4500,50
206,아메리카노,4500,51
207,투모로우 모카,6000,51
208,바닐라 딜라이트,5500,51
209,재즈공연,10000,52
210,칵테일 (진토닉),12000,52
211,위스키 (글라스),15000,52
212,맘모스빵,5000,53
213,앙버터,4000,53
214,밤팥빵,3500,53
215,소금빵,2800,53
216,왕슈크림,3000,54
217,치즈 타르트,3500,54
218,몽블랑,6500,54
219,크루아상,3200,55
220,뺑오쇼콜라,3500,55
221,퀸아망,3800,55
222,바게트,3800,56
223,잠봉뵈르,8500,56
224,크루아상 샌드위치,7500,56
225,몽블랑,7500,57
226,에끌레어,6500,57
227,아메리카노,6000,57
228,앙버터 스콘,4500,58
229,밤식빵,5500,58
230,소보로,2000,58
231,딸기 생크림 케이크,7000,59
232,까눌레,3000,59
233,휘낭시에,2800,59
234,다쿠아즈,3500,60
235,마카롱,3000,60
236,딸기 프레지에,8000,60
237,명란바게트,4200,61
238,소금빵,3000,61
239,이흥용식빵,5500,61
240,흰고무신(크림치즈),3800,61
241,군만두,7000,62
242,찐만두,7000,62
243,물만두,7000,62
244,오향장육,30000,62
245,삼선짜장,9000,63
246,짬뽕,9000,63
247,탕수육 (소),25000,63
248,후라이드치킨,19000,64
249,양념치킨,20000,64
250,닭똥집튀김,15000,64
251,깐풍기,22000,64
252,간짜장,8000,65
253,탕수육,22000,65
254,짬뽕,8000,65
255,규동,10000,66
256,사케동,13000,66
257,가츠동,10000,66
258,에비동,11000,66
259,파히타,38000,67
260,퀘사디아,15000,67
261,타코 (2pcs),9000,67
262,부리또볼,13000,67
263,돼지국밥,9000,68
264,수육백반,12000,68
265,순대국밥,9000,68
266,맛보기수육,12000,68
267,순대전골 (중),30000,69
268,모듬순대,25000,69
269,수제순대,10000,69
270,돼지국밥,8000,70
271,내장국밥,8000,70
272,따로국밥,8500,70
273,히츠마부시(민물장어덮밥),38000,71
274,장어계란말이,15000,71
275,장어구이,35000,71
276,샤오롱바오,9000,72
277,우육면,12000,72
278,새우완탕면,11000,72
279,꿔바로우,20000,72
280,안심 스테이크,45000,73
281,봉골레 파스타,19000,73
282,트러플 크림 리조또,22000,73
283,런치코스,55000,73
284,커리(치킨),12000,74
285,난,3000,74
286,탄두리치킨,18000,74
287,사모사,6000,74
288,우육면,11000,75
289,마라우육면,12000,75
290,군만두,8000,75
291,칼국수,7000,76
292,비빔칼국수,7000,76
293,김치만두,6000,76
294,쌍화차,7000,77
295,가래떡구이,6000,77
296,단팥죽,8000,77
297,아메리카노,5500,78
298,팥빙수,12000,78
299,대추차,7000,78
300,핸드드립,7000,79
301,티라미수,8000,79
302,카페라떼,6500,79
303,덴뿌라동,12000,80
304,사케동,14000,80
305,아나고동,16000,80
306,에비텐(새우튀김),8000,80
307,낙곱새 (낙지+곱창+새우),12000,81
308,낙삼새 (낙지+삼겹+새우),12000,81
309,라면사리,2000,81
310,젤라또 2가지 맛,5000,82
311,구운 찰떡,3500,82
312,아메리카노,4000,82
313,평양냉면,12000,83
314,비빔냉면,12000,83
315,어복쟁반 (중),60000,83
316,녹두전,15000,83
317,모듬회 (소),60000,84
318,자연산 모듬회 (소),80000,84
319,회덮밥,15000,84
320,매운탕,10000,84
321,사케동 (연어덮밥),13000,85
322,가츠동 (돈까스덮밥),9000,85
323,스테이크동,14000,85
324,에비동 (새우튀김덮밥),9500,85
325,소막창,12000,86
326,한우대창,13000,86
327,곱창전골,30000,86
328,수제맥주 샘플러,15000,87
329,페퍼로니 피자,22000,87
330,피쉬앤칩스,18000,87
331,샐러드바 (평일런치),35900,88
332,샐러드바 (디너/주말),45900,88
333,런치 스페셜 스테이크,18000,88
334,런치코스,35000,89
335,디너코스,60000,89
336,파스타,22000,89
337,런치세트,25000,90
338,디너세트,45000,90
339,스테이크,38000,90
340,이태리국시 파스타,18000,91
341,곱창 라구 파스타,19000,91
342,리조또,18000,91
343,족발 (중),35000,92
344,냉채족발 (중),40000,92
345,쟁반국수,12000,92
346,물밀면,8000,93
347,비빔밀면,8500,93
348,손만두,6000,93
349,런치코스,30000,94
350,디너코스,50000,94
351,탕수육,25000,94
352,꼼장어 (소금구이),15000,95
353,돼지갈비,12000,95
354,껍데기,8000,95
355,생삼겹살,13000,96
356,생목살,13000,96
357,된장찌개,3000,96
358,모듬회(2인),60000,97
359,해산물 모듬,40000,97
360,회초밥,15000,97
361,토리파이탄,9000,98
362,카라구치라멘,9500,98
363,미니차슈동,4000,98
364,오리불고기 (한마리),40000,99
365,촌두부,8000,99
366,파전,10000,99
367,조개구이 (중),60000,100
368,가리비구이 (중),60000,100
369,해물라면,10000,100
